dataset_name,best_model,score,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,best_node.mean,best_node.sd,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,elite_nn.mean,elite_nn.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,lh_trace,linear_discr.mean,linear_discr.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,naive_bayes.mean,naive_bayes.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,one_nn.mean,one_nn.sd,p_trace,random_node.mean,random_node.sd,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var.mean,var.sd,var_importance.mean,var_importance.sd,w_lambda,worst_node.mean,worst_node.sd,rows,columns,missing_percentage
breast_cancer_noisy,SVM,0.9825,0.1409630918639393,0.20822536666397237,2.9999844583036417,9.033620566533923e-16,0.05272407732864675,0.9051691729323308,0.027519849016822456,0.8755481160939744,0.0,0.0,0.04842332569432141,0.03788273683330159,0.9526351224018599,0.33374284677155064,0.27079547247737973,676.4714057232237,9367.7516625697,15063.218445868924,80983.18208150164,0.8735275689223059,0.03267238304958914,3.313553399669801,0.5,0.18019417095263515,0.0,0.0,1009.1623640929454,0.0,0.0,18.966666666666665,35.219273485232584,120.48937688957568,3.6651230452650903,0.2358977907814725,5.469664212066491,11.39628807616104,23.0,5.260869565217392,1.5729934203280245,0.043478260869565216,0.11547524632260578,235.12380952380946,195.3114510275686,0.5,0.03074377309506726,3.2842056992991107,0.9560776942355889,0.028925464968262076,20.80028426285724,70.0058533448656,264.18680582175875,883.8986692285275,61.890651526884945,195.86147321141354,50.799588999143815,157.19126040112286,15.593111260133549,42.527759998939025,0.28749653544041,0.23589779078147252,0.9437969924812031,0.028358312619940887,22.0,0.7333333333333333,0.03866432337434095,2.75,1.3887301496588271,1.2941176470588236,0.46966821831386213,30.0,0.0,0.0,2.0,0.25517241379310346,1.0,569.0,3.0,30.0,29.0,9.434854297315367,0,0.9174498746867167,0.02737968981971856,0.7665845035957077,0.8980576441102756,0.030752221832225715,248.59369456162523,843.0459057176695,3.2842056992991107,34.906412876439425,119.67525362543513,0.0,1.3095524964736975,1.235695814243855,0.0,0.0,53.294887356690836,165.81691897255814,4.4,1.8997607504869949,0.1328474557790727,0.13019411600529007,0.17017663043478262,0.11827048167953612,15063.218445868939,62593.58026189671,0.03333333333333333,0.12752755541368171,0.2334154964042922,0.8875939849624059,0.050326975293406545,569,31,0.0
breast_cancer_original,LogisticRegression,0.9825,0.07430208392137559,0.12261384976043915,2.999955970180525,4.8835063889264575e-05,0.05272407732864675,0.8928884711779448,0.03233365013611678,0.8799571879598335,0.0,0.0,0.05158464086252799,0.03583982015886093,0.9526351224018599,0.3948966255659125,0.2638053637781839,676.4651048521349,9367.754876816132,15063.21854191329,80983.16589235152,0.8506892230576442,0.03408640318085343,3.105245541925668,0.5,0.18019417095263515,54.205967045780206,168.8528853807463,1009.1627866986586,48.405412179993135,148.47946832596105,18.966666666666665,35.21501196666667,120.48750179568795,3.6458085500942636,0.22568425948582166,7.698004820620204,12.717419701151139,22.0,4.954545454545454,1.2140947137789433,0.04545454545454545,0.12134757803349355,166.17142857142858,97.39510214382825,0.5,0.06428243465332248,3.431144171075264,0.9560463659147869,0.027773871277620973,20.797861403199995,70.00092902515408,264.18550833333336,883.8964955090008,61.89071233951963,195.86138598399455,50.799370566666674,157.19118789388529,15.604080393333332,42.524969915309626,0.3067825424881211,0.2256982873889457,0.9367794486215537,0.029982874313937462,21.0,0.7,0.03690685413005272,3.0,1.8257418583505538,1.5,1.0919284281983377,30.0,0.0,0.0,2.0,0.3333333333333333,1.0,569.0,0.0,30.0,29.0,8.778770153770033,0,0.9156954887218045,0.03171387988991527,0.7743246526421776,0.9015977443609022,0.04064223646608022,248.58142794000005,843.0459424096767,3.431144171075264,34.90471860323657,119.67576524672171,0.0,1.7312413172800738,1.2719952728878507,0.0002087540337474961,0.00015182160995835746,53.29460552322644,165.81689209219886,4.093023255813954,1.6302782918784449,0.15781536441923114,0.13498921418359391,0.18110795454545456,0.10590906115298802,15063.21854191329,62593.5469611878,0.03333333333333333,0.12772652224057282,0.22567534735782235,0.8875939849624059,0.051668159145326256,569,31,0.0
breast_cancer_sampled,SVM,0.967,0.04343956370364485,0.03332849858065911,2.8073223986361793,7.171902073086011e-05,0.06593406593406594,0.9185507246376812,0.037704687315876215,0.8819241561597773,0.0,0.0,0.06123499929100602,0.0431090474567037,0.9448506439764089,0.4041832795944559,0.26380371847858747,629.4263213464776,8807.000471472793,14223.095528296726,76567.0447130572,0.8768599033816425,0.030039393354107352,3.0562910755145354,0.5,0.19426010472157898,53.753960203065894,167.2777227305315,1018.3052498308049,47.92423407120066,146.76872183988976,15.166666666666666,35.537378450000006,121.94412594156158,3.4430236125906655,0.23040431427516417,5.163966774727064,9.41328022878762,15.0,4.6,1.5491933384829666,0.06666666666666667,0.15439388182453692,107.37142857142857,81.44584134801664,0.5,0.14142135623730948,3.500251912768681,0.9515458937198067,0.027184187238842333,21.317392859700004,71.98092862295316,216.5521183333334,732.9690552921153,61.30101228817583,193.9501204252161,50.52065246666667,156.24289998618633,15.64264706,42.520449582296585,0.30914943002192313,0.23042914706308718,0.9428502415458938,0.02585636942156326,14.0,0.4666666666666667,0.03076923076923077,2.0,0.816496580927726,1.75,1.0350983390135313,30.0,0.0,0.0,2.0,0.3448275862068966,1.0,455.0,1.0,30.0,29.0,8.080794353840796,0,0.9315942028985507,0.0339764635704678,0.7777902172181352,0.8370531400966182,0.05096614541595597,200.9094712733334,691.6652757983252,3.500251912768681,33.65875611842031,116.36824871275333,0.0,1.5216684643519096,1.009273912482754,0.00021293365885490827,0.0001562733289414568,53.05795654871795,164.9814345903138,3.793103448275862,1.820112051982899,0.13838267973760646,0.11223711944927538,0.221875,0.13748351159255945,14223.09552829674,59406.04752291193,0.03333333333333333,0.136848632736337,0.2222097827818648,0.8747826086956522,0.058219097015310556,455,31,0.0
breast_cancer_shuffled,LogisticRegression,0.9561,0.051600592148955196,0.06207481334634088,2.999955970180525,4.8835063889264575e-05,0.05272407732864675,0.894454887218045,0.04336466572803902,0.879957187959834,0.0,0.0,0.05158464086252799,0.03583982015886093,0.9526351224018599,0.3948966255659125,0.2638053637781839,676.465104852135,9367.754876816134,15063.218541913286,80983.16589235154,0.8558583959899748,0.05844454773165077,3.105245541925668,0.5,0.18019417095263515,54.20596704578019,168.85288538074622,1009.1627866986593,48.40541217999314,148.47946832596108,18.966666666666665,35.21501196666667,120.48750179568795,3.6458085500942636,0.22568425948582166,7.698004820620205,12.71741970115114,22.0,4.954545454545454,1.2140947137789433,0.04545454545454545,0.12134757803349355,166.17142857142858,97.39510214382825,0.5,0.06428243465332248,3.4311441710752835,0.9543233082706767,0.014745995041568517,20.797861403199995,70.00092902515408,264.18550833333336,883.8964955090008,61.89071233951963,195.86138598399455,50.799370566666674,157.19118789388529,15.604080393333332,42.524969915309626,0.3067825424881211,0.2256982873889457,0.938408521303258,0.025521506294746733,21.0,0.7,0.03690685413005272,3.0,1.8257418583505538,1.5,1.3445044840729643,30.0,0.0,0.0,2.0,0.3333333333333333,1.0,569.0,0.0,30.0,29.0,8.778770153770033,0,0.9225563909774437,0.037648711674727185,0.7743246526421786,0.694172932330827,0.036463617431301616,248.58142794000005,843.0459424096767,3.4311441710752835,34.90471860323657,119.67576524672171,0.0,1.731241317280074,1.2719952728878505,0.0002087540337474961,0.00015182160995835746,53.29460552322644,165.81689209219886,4.093023255813954,1.6302782918784449,0.15781536441923114,0.13498921418359391,0.18110795454545456,0.10590906115298802,15063.218541913293,62593.54696118781,0.03333333333333333,0.1276995212378646,0.22567534735782135,0.8874686716791981,0.04637080663906441,569,31,0.0
diabetes_noisy,LinearRegression,0.4604,0.03779064138040309,0.032977151324869954,2.8072965826921865,2.502755077851199e-05,0.02262443438914027,0.0,0.0,0.7229676204973925,0.06883998014672717,0.0,0.492069997978615,0.022058550549540857,7.54183975621641,0.30342494547368337,0.170124514418776,0.0007204191886393384,0.0004022929853502328,0.002373070526505169,0.002602683064833433,0.0,0.0,4.167029430511539,0.004672897196261682,0.002552348431491412,0.0,0.0,0.09868875500882547,0.0,0.0,44.2,0.0705641454509674,0.009310047255110768,8.539252371928649,0.051367233391697194,-0.09356181907598549,0.7885199994993174,387.0,14.11111111111111,5.3364088714286835,0.002583979328165375,0.0008708017692944784,1586385130.1617405,15215491220.902695,0.004672897196261682,0.0023026537365299984,12.421591301071608,0.0,0.0,0.04880847677796403,0.002681145790491332,0.15571423828934428,0.03983332787315108,0.00015395420920601613,0.0005370248453742465,-0.005577114699942839,0.009261493729898315,-0.11136682995719223,0.023009723203114122,1.8098839669799465,0.05137191230795184,0.0,0.0,386.0,38.6,0.8733031674208145,11.352941176470589,11.65639986247944,38.6,5.641118880348316,10.0,0.0,0.0,214.0,0.11111111111111112,10.0,442.0,1.0,10.0,7.0,0.5510920224220603,0,0.0,0.0,5.2694722886760355,0.0,0.0,0.2670810682465365,0.050030464774031856,3.0359798878311626,0.0487127287510246,0.0003952272683319832,0.0,0.3554855371670808,0.28207525173245157,0.0,0.0,-0.002341602600593981,0.0021975607307394745,13.13065976714101,5.493967884267824,0.0275836242854208,0.0593469126161308,0.014020400126320274,0.041187756475815525,0.0023730705265051677,3.8587142219338325e-05,0.1,0.016477291437352617,0.00043241655329806966,0.0,0.0,442,11,0.0
diabetes_original,LinearRegression,0.4526,0.04947984757989594,0.052779308698901926,2.5392091774532415,0.6032837421009233,0.02262443438914027,0.0,0.0,0.7148076289453489,0.07374423788157085,0.0,0.4932578402811174,0.014978237406491256,7.54183975621641,0.32175361582954387,0.1769449422784215,0.0007296000358946563,0.0004012356967764651,0.002267573696145122,0.0026262687206658536,0.0,0.0,4.680803272090315,0.004672897196261682,0.002552348431491412,0.0,0.0,0.08932972521878155,0.0,0.0,44.2,0.06962874260356706,0.010480497233305597,8.469821262302801,0.1642363220314568,-0.09977355519691597,0.8242121397239051,394.0,12.690355329949238,4.715904374761286,0.0025380710659898475,0.0008082148292398112,52298426.64179204,333809671.2164461,0.004672897196261684,0.0022580853555472665,11.978306607392241,0.0,0.0,0.043470517809938686,0.015765524269398933,0.14523299559977582,0.04347386443579273,-6.631196346177404e-18,7.97792144723061e-17,-0.007255429348906095,0.013617515348236332,-0.10395010032435756,0.027568021948292627,1.61122767136685,0.44349245718407987,0.0,0.0,393.0,39.3,0.8891402714932126,14.035714285714286,12.3782429880375,39.3,10.801748829600594,10.0,1.0,0.0,214.0,0.13333333333333333,10.0,442.0,0.0,10.0,7.0,0.5759468525631505,0,0.0,0.0,5.15844337757132,0.0,0.0,0.24918309592413337,0.05970360354058458,3.019084651878051,0.04761904761904758,2.512522710995718e-17,0.0,0.36091823100679293,0.3021825792471178,0.05767767523755637,0.1551103072331031,-0.002622340654476643,0.0024113425428850615,11.707750952986023,4.899340808231192,0.03559355790337501,0.06409428136035458,0.016366492389573665,0.03321586675831221,0.0022675736961451213,2.4786926272327156e-18,0.1,0.02995401497063203,0.0005376218048269373,0.0,0.0,442,11,0.0
diabetes_sampled,LinearRegression,0.4871,0.05502152545013925,0.05451855910894094,2.544277078614033,0.5978724898634675,0.02824858757062147,0.0,0.0,0.7411857631916552,0.07831208919634594,0.0,0.5407717154338358,0.01558579253391933,7.367319171446903,0.3322858396534944,0.17449344996831648,0.0007657479210973906,0.0004058687136969251,0.0022988561637111602,0.0027348779285075848,0.0,0.0,4.292917025551134,0.005291005291005291,0.002891335117057395,0.0,0.0,0.08932972521878155,0.0,0.0,35.4,0.06993545025959022,0.010264321361652307,8.195439350778432,0.1334613715055174,-0.13755809473423417,0.7898293554279034,307.0,11.039087947882736,3.257736365064865,0.003257328990228013,0.0011623047710876708,608669.112475141,2800017.785599426,0.005291005291005291,0.0024953166011314285,14.333671885672375,0.0,0.0,0.04346283373145663,0.015746681572995358,0.1448648318193671,0.04315000995227168,3.378391044448209e-05,0.0013997089643495446,-0.006844164841397923,0.014279073074464046,-0.10395010032435756,0.027568021948292627,1.7161568992825038,0.47052418451212097,0.0,0.0,306.0,30.6,0.864406779661017,14.571428571428571,12.796762983549508,30.6,9.39503414930817,10.0,1.0,0.0,189.0,0.13333333333333333,10.0,354.0,0.0,10.0,6.0,0.48254339663101453,0,0.0,0.0,5.54875840540863,0.0,0.0,0.24881493214372466,0.05947950061365058,3.521978275772533,0.04794101301996055,0.0007567726292429059,0.0,0.3435337143279719,0.2991944034119161,0.05779911124852334,0.1549765151198022,-0.0024287451213119505,0.003152886733175981,10.058727569331158,3.518365867597433,0.04955584218534416,0.07003553307961305,0.020237239253637455,0.03905793810194803,0.0022988561637111607,7.19090103996811e-05,0.09999999999999998,0.03372698270012889,0.00021230956877608565,0.0,0.0,354,11,0.0
diabetes_shuffled,LinearRegression,0.3799,0.04947984757989594,0.052779308698901926,2.5392091774532415,0.6032837421009233,0.02262443438914027,0.0,0.0,0.7148076289453489,0.0737442378815708,0.0,0.4932578402811174,0.014978237406491256,7.54183975621641,0.32175361582954387,0.17694494227842153,0.0007296000358946563,0.00040123569677646514,0.0022675736961451226,0.002626268720665855,0.0,0.0,4.680803272090315,0.004672897196261682,0.002552348431491412,0.0,0.0,0.08932972521878155,0.0,0.0,44.2,0.06962874260356706,0.010480497233305597,8.469821262302801,0.1642363220314568,-0.09977355519691518,0.8242121397239058,394.0,12.67005076142132,4.597019334945695,0.0025380710659898475,0.0008082148292398112,27296169.695158307,164463445.71577737,0.004672897196261684,0.0022580853555472665,11.978306607392238,0.0,0.0,0.043470517809938686,0.015765524269398933,0.14523299559977582,0.04347386443579273,-6.60607817819946e-18,7.991619069034091e-17,-0.007255429348906095,0.013617515348236332,-0.10395010032435756,0.027568021948292627,1.61122767136685,0.44349245718407987,0.0,0.0,393.0,39.3,0.8891402714932126,14.555555555555555,12.56470432886484,39.3,14.071642090072894,10.0,1.0,0.0,214.0,0.13333333333333333,10.0,442.0,0.0,10.0,7.0,0.5759468525631505,0,0.0,0.0,5.15844337757132,0.0,0.0,0.24918309592413337,0.05970360354058458,3.019084651878051,0.04761904761904758,2.3587703612515317e-17,0.0,0.36091823100679293,0.3021825792471179,0.05767767523755637,0.1551103072331031,-0.002622340654476643,0.0024113425428850615,11.687420584498094,4.785089418467638,0.03703309518436488,0.06533038625560875,0.016312104002170758,0.033381270185381874,0.0022675736961451213,2.3443739340197667e-18,0.10000000000000002,0.03740489413920087,0.0005376218048269382,0.0,0.0,442,11,0.0
digits_noisy,SVM,0.9778,0.009555230683288668,0.008470352856654014,3.584956462671865,0.0,0.035614913745130775,0.1969925512104283,0.003708799278673716,0.8035017428373289,0.11947269937651915,0.0,0.04106181474070961,0.024914163180615578,3.3217753538402386,0.11373055529024431,0.13250312528956867,2.2333775281677024,3.627807380667357,18.783637913101966,37.1963579577685,0.16801986343885783,0.026596827579276436,10.056890050677838,0.1,0.0015307498449844393,0.0,0.0,25.50896779193034,0.0,0.0,28.078125,5.972442856624646,5.127694728557778,6.576433350773547,0.20152701815619875,93.16003182629794,265.8784449039591,154.0,9.272727272727273,2.5572471086711372,0.006493506493506494,0.01701583799474704,28090.343434343427,46800.58116097369,0.09999999999999999,0.03242421352566927,26.28407425660586,0.9165176908752327,0.03267076923735425,3.6645254690247895,3.7543674881888855,13.081450584611234,5.354684092240922,4.884186879586961,4.207705966722241,4.719622014510278,5.04337916819336,-0.030165288750350405,0.005386014389549479,0.330298465738556,0.20152701815619875,0.8542302917442584,0.0641300239944972,153.0,2.390625,0.08514190317195326,10.2,7.123402076455965,2.8333333333333335,1.6223672431660205,64.0,0.0,0.0,10.0,0.02976190476190476,9.0,1797.0,3.0,64.0,33.0,9.853687905136976,0,0.9755183116076971,0.016608649279406154,5.924725263854121,0.1001644941030416,0.010133298255469953,13.111615873361584,5.352700597983989,7.57576605788009,3.684641033931509,2.299936973970441,4.001005076490044,4.0627487392002735,8.332883253353005,0.0,0.0,4.734812552516917,4.729162692956323,8.306188925081432,2.863574621212008,0.07231535472722239,0.08842087714336187,0.03736580192268669,0.053849578700019385,18.783637913101973,14.914868877837835,0.015625,0.026196392753280902,1.7707893997619103e-05,0.1185195530726257,0.018088675184483236,1797,65,0.0
digits_original,SVM,0.975,0.056729366063449777,0.13591247884266686,1.9967445761797202,1.2683259327373226,0.035614913745130775,0.1975512104283054,0.0038809005263216586,0.8029845506779925,0.11981669008317668,0.0,0.13586499196450696,0.10425031978044785,3.3217753538402386,0.0,0.0,2.233279269117175,3.6277856129884483,18.783558002510993,37.195949497670746,0.11630974549968962,0.03933102666250364,10.334824292526234,0.1,0.0015307498449844393,0.0,0.0,25.51146176714281,0.0,0.0,28.078125,5.96875,5.136142552291585,4.997104174916853,1.0964362254289397,0.0,0.0,168.0,9.095238095238095,2.393199184811156,0.005952380952380952,0.016100535133929138,29564.636430236427,62765.45174331638,0.1,0.03656396666599823,26.23284186525398,0.9170701427684668,0.03262058525249616,3.66016875,3.7634253629506187,13.0625,5.350789883835131,4.884164579855314,4.2077633024824745,4.71875,5.044150313080725,0.0,0.0,0.3214157551031056,0.21091300931282114,0.8113904407200497,0.06675246788443155,167.0,2.609375,0.09293266555370061,11.133333333333333,8.879081891620059,3.4791666666666665,2.1732374451283047,64.0,3.0,0.0,10.0,0.030257936507936505,9.0,1797.0,0.0,64.0,30.0,5.212341941791848,0,0.9749627560521414,0.01800430948880844,5.917906011427741,0.1825108628181254,0.022063433878025708,13.0625,5.350789883835131,7.584137517565443,3.684031635638865,2.300910828097241,0.0,0.0,0.0,0.14192842845590245,0.2190100736052651,4.733940569972196,4.730131021012112,8.125373134328358,2.725316181381095,0.07112796357878363,0.09130756887704396,0.03595697312127976,0.048225467014383044,18.78355800251099,14.915130547869877,0.015625,0.02279809320868105,1.802087766431852e-05,0.10128491620111732,0.002567537366141399,1797,65,0.0
